"","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866","d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Clostridiales","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_650611","d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales","d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993521","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_660879"
"Anser_anser",0.011864276,0.001415711,0.016157575,0.001000231,0.14914211,0.551173348,0.00041548,0.113826268,0.000153882,0.022189736
"Sylvicapra_grimmia",0.295612479,0,0.000465211,0.317273864,0.017765243,0.000726892,0,0.013185823,0.001104876,0
"Chaetodon_auriga",0.002436222,0.007048188,0.000674175,0.016471309,0.177522409,0.11019689,0.102244695,0.16190914,0,0.000490309
"Scopus_umbretta",0,0.006193089,0.082775563,0.004104209,0.002456641,0.538239751,0.000485444,0.33966372,0,0.009973668
"Geopelia_cuneata",0.001661105,0.014891146,0.011568936,0,0.005468417,0.308465756,0.001293604,0.001793406,0.002234407,0.001352404
"Galictis_vittata",4.27e-05,0.000569833,0,0,0,0.995669269,0,0.003646931,0,0
"Chaetophractus_vellerosus",0.331906807,0.007268032,0.010735217,0.110572738,0.311785528,0.030232693,0,0.005498172,0.000232113,2.9e-05
"Passerina_ciris",0.009146341,0.082317073,0.01402439,0.022560976,0.130487805,0.020731707,0.087804878,0,0,0.030487805
"Circus_aeruginosus",4.46e-05,0.317475411,0.000832021,0.000222863,0,0.045627433,0.00017829,0.001485752,0.632737052,0
"Trachypithecus_hatinhensis",0.035758217,0.004948937,0.000572131,0.368938982,0.048616872,0.007981234,0.002360042,0.003304059,0.000100123,0.21862574
"Cercopithecus_ascanius",0.324910366,0.002042653,0.002656877,0.38694702,0.047238133,0.00389961,0,0.008370592,0,0
"Thraupis_episcopus",0.06848053,4.32e-05,0.448168142,0.00097891,0.00428993,0.002202548,0.000662204,0.000820557,0.000143957,0.000273519
"Tyto_alba",0.436417615,0.005181703,0.003078784,0.000604761,0.012699984,0,0.00032987,0,0.002583979,6.87e-05
"Corvus_albus",0.000457178,0,0.238875343,0,0.000228589,0.166641268,0,0.280478513,0,0
"Mesoplodon_bidens",5.28e-05,0.143834712,2.64e-05,0.000277418,0.016380882,0.797207324,0,0.040727628,0,3.96e-05
"Pediculus_humanus",0.018492864,0.362640549,0.005621959,0.004091627,0.005928026,0,0.00470376,0.000934308,0.002770708,0.01188827
"Garrulax_leucolophus",0.000216229,0.001052313,0.936774733,0,0,0.000533364,0.001960473,7.21e-05,0,0.001124389
"Colobus_guereza",0.023299186,0,0.027055424,0.061019175,0.010769635,0.000919359,5.25e-05,0.001930654,0,0.30798529
"Sus_philippensis",0.000156834,0,0.004339075,0,0.000222182,0.004600465,0,0.00237865,0,0.642222338
"Nomascus_siki",0.215008165,0.252265185,0.022348944,0.192237792,0.093557393,0.001672549,0,0.000118527,0.000237054,9.22e-05
"Prionailurus_viverrinus",0.01900541,0.000117317,0.102235547,0.002737405,0.0998892,0.512390015,0,0.097529818,0.108922636,0
"Lepus_tolai",0.151697042,0.000527484,0,0.285041289,0.202990287,0.000945833,0,0.004347193,0.000454727,0
"Hyaena_hyaena",0.49267238,0.008855286,0.002162036,0.067333834,0.096437171,0.019600735,0.018979312,0.043331348,0.117992802,0.003133011
"Eurycea_longicauda",0.013765933,0.005840093,0.019714175,0.006828891,0.081591348,0.03196601,0.002811896,0.010892236,0.001807648,0.002564697
"Uromastyx_aegyptia",0.443356499,0.09874183,0,0.080114708,0.05961454,0.001795541,0.000284186,0.001446767,0.000142093,0.000232516
"Addax_nasomaculatus",0.292720523,0,8.99e-05,0.28113399,0.053269792,0.008143971,0,0.035260569,0,0
"Dracaena_guianensis",0.099668958,0.000127324,0,0.058708938,0.07131398,0.082200153,0,0.00522027,0,7.64e-05
"Dolichonyx_oryzivorus",0.517424283,0.019625524,0.028430489,0.003659895,0.146820135,0.035378985,0.021269824,0,0,0.013631783
"Strix_uralensis",0.000191595,0.23886831,0.088376549,0.00054924,0.000689743,0.001724358,0.00836633,0.001456125,0.00012773,0.048831268
"Lagopus_muta",0.021259843,0.009161355,0.00016248,0.036732908,0.071778528,0.002324709,0,0.021797275,0.000324959,0
"Bubo_lacteus",0.018575249,0.048586412,0.129974818,0.082569641,0.23631195,0.02480594,0.001973052,0.030945767,0,0.001544692
"Argusianus_argus",0.091045572,0.002766852,0.005248334,0.027916672,0.033586858,0.24462449,3.72e-05,0.278670422,0.001191111,0.000260556
"Varecia_variegata",0.388505382,0.000268794,3.67e-05,0.063716447,0.124353978,0.162803768,0,0.000757511,0,0.000720857
"Apodemus_sylvaticus",0.05061443,0.000365008,0.001946709,0.043569777,0.485290181,0.000766517,0,0.000498844,4.87e-05,8.52e-05
"Anas_acuta",0.064695305,0.017944234,0.036134785,0.462769102,0.304719444,0.00125622,0.007906793,0.001958225,0.049608355,0.009347751
"Chordeiles_minor",0.562015843,0.000139892,0.005700596,0.025425359,0.096980083,0,0.002588001,0.003549758,0.072201724,0.000681973
"Camelus_dromedarius",0.016299502,0,0.003102969,0.019806689,0.004208624,0.002472864,0,0.010260007,0,0.571065115
"Saguinus_imperator",0.131601968,0.057148715,0.270215965,0.005371788,0.07520503,0.067441225,0.00020503,0.000574084,0.069518863,0.000669765
"Alouatta_caraya",0.048531725,0,0.001314523,0.056770968,0.032593132,5.87e-05,0,0.001678364,0,0
"Paroaria_coronata",0.072384619,0.200547436,0.07306564,0.010686783,0.104340196,0.018976898,0.028773115,0.00846037,0.001047724,0.00254073
"Mustela_putorius",0.297968318,0.000431281,0.009907799,0.263897145,0.220093017,0.007296803,0.000629437,0.00297234,0,0.001153967
"Ardea_cinerea",0,0.047525827,0.062691636,0.001309024,0.04836313,0.302018963,0,0.52147507,0.000141516,4.72e-05
"Strabomantis_bufoniformis",0.004399488,0.007672422,0,0.000913101,0.021428233,0.04374585,0.009664643,0.026207191,0.000130443,0.00092496
"Balaenoptera_borealis",0.630007581,0.003918596,0.006880868,0.128147414,0.017388769,0.000338212,0.000104962,0.041355181,0.001422823,0
"Ateles_fusciceps",0.121726407,0.000633692,0.00076043,0.326443377,0.089062482,0.00324911,0,0.002062378,0,0
"Pseudois_nayaur",0.240305901,0,0.000374764,0.319346036,0.060266785,0.000667549,0.002904423,0.020787708,0,0
"Cephalopholis_urodeta",0.014112641,0.417552154,8.27e-05,0.005165179,0.028532593,0.229229951,0.007056321,0.127439277,0.026062289,0.002718515
"Euphractus_sexcinctus",0.348916132,0.004215693,0.03533432,0.110312595,0.157706851,0.053582752,0.000140915,0.02664459,0.000375772,0
"Ramphocelus_carbo",0.126794597,0.086808992,0.076295259,0.000591237,0.002339241,0.000372736,0.019947817,0,0,0.022029999
"Cephalophus_silvicultor",0.32687248,0,0,0.250272872,0.114284729,0.000298724,0,0.005066811,0,0
"Paradisaea_raggiana",0,0.344005194,0.049691917,0,0,0,0.468320406,0,0,0.05974875
"Ammotragus_lervia",0.351858719,0,4.64e-05,0.281565774,0.041670529,0,0,0.007335218,0,0
"Oryx_beisa",0.313501639,0,0,0.298477053,0.059517847,0.002299217,6.83e-05,0.014580677,0,5.69e-05
"Mus_bufo",0.01292831,0.011854926,0.092501819,0.001395399,0.000417427,0.000274309,0.001156869,0.000381648,0.000107338,0.123999666
"Mus_musculus",0.46359718,0.000245024,0.079610634,0.005167786,0.089077483,0.000579148,0.000100237,0.000278437,0.000100237,2.23e-05
"Tringa_glareola",0.000139857,0.17165101,0.00223771,0.000745903,0,0.000116547,0.824060045,0.000396261,0.000396261,0
"Cyanopica_cyanus",0.054507377,0.108580808,0.06599751,0.000226407,0.00392438,0.006320516,0.020263386,0.002867816,0.010678842,0.230010188
"Parabuteo_unicinctus",0.000100481,0.278388728,0.001641193,3.35e-05,6.7e-05,0.093023256,0.044390358,0.003673146,0,0.36913441
"Canis_aureus",0.050487395,0.000717087,0.004056022,0.005759104,0.018610644,0.034957983,2.24e-05,0.107540616,0.744022409,0
"Bucorvus_abyssinicus",0.001426455,5.53e-05,0.000409138,0.078698277,0.178804432,0.044927793,0.001127894,0.104374461,0,0.002123095
"Anolis_smallwoodi",0.252024659,0.003560322,0.002417503,0.034185686,0.05725086,0.044778744,0.001131831,0.003868004,0.000846126,0.176598574
"Cyclura_collei",0.339283156,0.042144581,0.002952875,0.095362443,0.074626208,0.034872575,0.003580912,0.010830882,0.002390947,0.002787602
"Meleagris_gallopavo",0.0147467,0.000801083,0.024483809,0.000372334,0.233487532,0.256696378,0.000169243,0.179250818,0,0.001353943
"Castor_canadensis",0.44605319,0,3.27e-05,0.061953646,0.044764258,0.001262805,0,0.033464331,0.22071871,4.35e-05
"Glis_glis",0.016901364,0.479159161,0.06373647,0.000610893,0.031891731,0.090192823,0.000250623,0.308626118,0.000454254,0.000125311
"Cephalopholis_argus",0.050538534,0.184786271,0.001858514,0.028029867,0.022899934,0.534241216,0.010379419,0.042365421,0.013607364,0.003510526
"Camelus_bactrianus",0.264803777,0,4.42e-05,0.27161545,0.049340396,0.000630301,0,0.008558823,0,0
"Eira_barbara",0.002562571,0.004527651,0.987545642,0.000849764,0.000159331,0.001540198,0,0.000371772,0.000106221,0
"Aspidites_ramsayi",0.486360892,0.007838444,0.013768491,0.04293354,0.056540303,0.022566524,0.005218441,0.039612714,0.001455557,0
"Hystrix_africaeaustralis",0.23821757,0,0,0.29882363,0.216531261,0.000117744,0,0.004720465,0,0
"Buteo_jamaicensis",3.49e-05,0.012393566,0.039195816,0,0.002248081,0.666701611,0,0.275547169,0,0
"Treron_waalia",0.001976953,0.132339571,0.008499841,3.17e-05,0.005624273,0,0.010043345,0.000222011,0,0.054160059
"Galerella_pulverulenta",0.043634723,0.001127929,0.062175721,0.015780258,0.306850286,0.00148242,0,0.305743842,0.140013535,0
"Hylomyscus_stella",0.288552874,0.001949318,0.01676844,0.124314777,0.375055195,0.000624643,0,0.000613874,6.46e-05,0
"Chamaeleo_calyptratus",0.150908413,0.014609196,0.000117215,0.170845543,0.133613938,0.082295274,0.005615643,0.010101764,0,0
"Melophagus_ovinus",0.036064163,0.193836206,0.011059307,0.004301612,0.007645769,0.000166514,0.026017817,0.00036078,0.000971332,0.019718036
"Eurycea_bislineata",0.265859745,0.041447076,0.020169599,0.06721819,0.093848687,0.064650397,0,0.038237334,0.304148849,0
"Stigmochelys_pardalis",0.135486675,0.057497827,0.001791507,0.070218585,0.067907647,0.054508449,0.004113045,0.006837408,0.006413382,0.296033244
"Aratinga_solstitialis",0.261438411,0.136448023,0.016873373,0,0.000889807,0.000714042,0.004591842,0.000768969,0.000252661,0.01697224
"Apodemus_flavicollis",0.455024083,5.21e-05,0.006109385,0.177766425,0.128026022,0.000312767,7.3e-05,0.002158093,0.000166809,0
"Cabassous_unicinctus",0.300470644,0.001833143,0.029917303,0.085920845,0.171882885,0.046106631,0,0.026415794,0.020308751,0
"Zamenis_longissimus",0.215901154,0.509223121,0.002988784,0.000605973,0.022811306,0.04963847,0.047676759,0.034263177,0.001232488,0.023571341
"Dendrocopos_major",0.000102923,0.099969123,0.025638123,0.000319061,0,0.662999177,0.002140799,9.26e-05,0,0.125010292
"Hylobates_lar",0.470056497,0.001214425,0.001594593,0.153154866,0.161624162,0.000369608,0,0.000813137,0,0.012672264
"Haliaeetus_leucocephalus",0.019720063,0.235042161,0.000805399,0,0.007639084,0.208732473,0.011971152,0.016461859,0.012056573,0.014204303
"Trachypithecus_delacouri",0.079543088,0.01900329,0.000968387,0.240982548,0.045420467,0.030082469,0.000177017,0.002457412,0.000156191,0.17463243
"Trichoglossus_haematodus",0.00230234,0.009033843,0.957866155,0.000557517,0.001300873,0.000382003,0.018656177,0.000371678,0,0.003303806
"Cynomys_ludovicianus",0.434842292,3.05e-05,0.000162691,0.147621662,0.188202876,0.003162305,0,0.004982409,0.010656254,0.000162691
"Lampropeltis_alterna",9.15e-05,0.697047014,0.001402795,0,0.082480305,0.073108005,0,0.019161372,0,0
"Eliomys_quercinus",0.000222708,0.002054989,0.165138079,0.000435293,0,0.00042517,0.000182216,0,0.0001316,0
"Okapia_johnstoni",0.000860655,0.010915129,0.001670683,0.001194792,0.000374638,1.01e-05,0.001731435,0.000324011,0,0.557167737
"Cercopithecus_neglectus",0.286066172,0.007176742,0.000101366,0.316506508,0.060911081,0.008007947,0,0.012914082,0,4.05e-05
"Nomascus_gabriellae",0.563121089,0.012881855,0.043174662,0.197951172,0.070001636,0.018218623,0,0.000265816,0.000357829,3.07e-05
"Cornufer_guentheri",0.220324819,0.364358569,0.001097496,0.024698692,0.054119637,0.086611557,0.001822447,0.035542757,0.00442019,0.069343617
"Raphicerus_campestris",0.124310613,0,0.001147224,0.421073128,0.117290448,0.000420999,0,0.008230539,0.003304846,7.37e-05
"Acropora_hyacinthus",0.001460728,0.038401295,0.00019359,0,7.04e-05,0,0.491350029,0,0.000475176,0.002235089
"Aix_galericulata",0.083467014,0.011008622,0.007780229,0.112402246,0.151945057,0.000120313,0.000120313,0.00173451,0,0.297513535
"Podargus_strigoides",0.221837915,0.004243942,0.015266265,0.012155366,0.032927823,0.000934264,0.001719443,0.007931302,0.611783648,0.000606277
"Saguinus_geoffroyi",0.662109627,0.005209939,0.003281068,0.04912654,0.06337433,0.000258508,0,0.001093689,0,0
"Symphalangus_syndactylus",0.355507261,0.245984392,0.010639139,0.132411341,0.054094636,0.003862491,0,0.003141361,7.9e-05,0.000335869
"Bradypus_variegatus",0.114838774,0.001765207,0.000150444,0.322601675,0.102081139,0.010149942,0.006820119,0.01797302,0.000150444,9.03e-05
"Capreolus_capreolus",0.349201369,0.000715778,0.007363684,0.365173993,0.110298371,0.00058831,0,0.004598625,0.000166688,5.88e-05
"Aonyx_cinereus",0.024331745,0.905744332,0.006207742,0.00716278,0.003570537,0.002224803,0.003407747,0.004536427,0.017689895,0.006652703
"Cryptoprocta_ferox",0.035056144,0.151214415,0.048238484,0.004344025,0.047473499,0.149660538,0.0010621,0.285284957,0.103167177,0.074483635
"Otomys_tropicalis",0.123347881,0.001116926,0.000661882,0.164715494,0.586592757,0,0,0.000465386,7.24e-05,0
"Gerbilliscus_brantsii",0.003728928,0.022460513,0.009872965,0.000956383,0.000598947,0,0.67228904,0.000251171,0.000376757,0.001178573
"Erethizon_dorsatum",0.543004785,0.002985646,0.00061244,0.068956938,0.103885167,0.011416268,0.000105263,0.009521531,0.092047847,0
"Nyctalus_noctula",5.59e-05,0.876711181,0.035536682,0.000558753,0.000251439,0.002430575,0.025143879,0.001117506,0.000167626,0.04397385
"Rentapia_hosii",0.223173418,0.008302212,0,0.001647036,0.002087523,0.01003543,0.027156947,0.002212008,0.000900124,0.038877717
"Bucorvus_leadbeateri",0.004219128,0.022524239,0.075344292,0.001228595,0.684003505,0.036553077,0.000390484,0.158536353,0.001247643,2.86e-05
"Hippotragus_equinus",0.354976206,8.76e-05,0.000593622,0.293093549,0.044064267,0.000535233,0,0.010811705,5.84e-05,0
"Leucopsar_rothschildi",0.031667443,0.008902221,0.056937325,0.032939189,0.031900435,0.010756446,0.000621311,0.008678938,0.028522057,0.197625427
"Halichoerus_grypus",6.02e-05,0.008815792,0.001395666,4.02e-05,0.001817379,0.179609213,4.02e-05,0.134907725,0.668383638,0.000140571
"Aix_sponsa",0.000158952,0.359253835,0.007890823,0.004462005,0.155080214,0.347979609,0.000113537,0.096302099,0,0.000635807
"Halcyon_malimbica",0.143245272,0.002222919,0.606058879,0.003505372,0.003533871,0.000731473,0.007704219,0.004426838,0,0.00246991
"Vireo_gilvus",0.147928994,0.045021868,0.082582969,0.062516079,0.049909956,0,0.014664266,0.000514536,0,0.011577052
"Oryx_dammah",0.277205973,0,4.73e-05,0.28339851,0.067379345,0.013322476,0,0.026502921,0,0.000170437
"Bactrocera_dorsalis",0.001821744,0.72876158,0.25216046,0,0,0.000119008,0,0.000164781,0.000311253,0
"Intellagama_lesueurii",0.0409867,0.034617332,0.049730775,0.164692347,0.150582171,0.152220535,0,0.203212297,0,0
"Dasyprocta_leporina",0.29866142,0.007437576,0.081307689,0.143373295,0.140891038,0.004137094,0.000652742,0.007400802,0,0
"Peromyscus_maniculatus",0.261700209,0.032187531,0.32977415,0.061077048,0.254994853,0,0,6.38e-05,0,0
"Agalychnis_lemur",0.537702415,0.037011795,0.001453937,0.042291405,0.108281991,0,0.073532886,0.007106119,0,0.0002817
"Arctictis_binturong",0.000150935,0,0.016538192,0,0.00108889,0.752175085,0,0.053592798,0,0
"Eunectes_murinus",0.362185647,0.00028236,7.29e-05,0.044858775,0.043374109,0.042089827,0,0.00286914,0,0
"Dasyprocta_punctata",0.542193732,0.002431452,0.005958062,0.124848034,0.061117865,0.010218127,0,0.007254167,0,0
"Portunus_trituberculatus",0.2957953,0.225164046,0.007789875,0.016257927,0.04247773,0.000284101,0.000375747,0.009714432,0.00321676,0
"Muntiacus_reevesi",0.363584824,0,0,0.293572946,0.091474389,0.00137684,0,0.005120406,0,3.6e-05
"Microcebus_murinus",0.490064646,0.045879257,0.002463968,0.107937685,0.043662569,0,0,0.001536668,0,0
"Gopherus_polyphemus",0.115338766,0.001085332,0.000195716,0.076026617,0.038840652,0.011164686,0.075430574,0.005488933,0,0.270007473
"Atelopus_varius",0.348689338,0.006925257,0.004312788,0.032332625,0.049078994,0.005472901,0.005756288,0.012035069,0.020687212,0.041994332
"Prolemur_simus",0.506167982,0.00022731,0.025362604,0.080721448,0.262456177,0.00032348,7.87e-05,0.001879683,0,0
"Haliaeetus_albicilla",0.005427254,0.278950524,0,0,0.000103376,0.455754957,0,0.209088842,0.044451796,0
"Epinephelus_merra",0.012484732,0.106979585,0.000139592,0.001989182,0.034147618,0.565442331,0.005540045,0.17873844,0.009056011,3.49e-05
"Mantella_aurantiaca",0.408815092,0.011492654,0.004181518,0.0624185,0.143466922,0.065956707,0.057063375,0.012327219,0.049404503,0.000182561
"Crocodylus_niloticus",0.026626938,0.186259015,0.000595932,0.006935268,0.004396079,0.018681176,0.001114134,0.001235048,0.058876366,0.092775403
"Eudocimus_ruber",0.014692386,0.071557202,0.385950027,0.000181815,0.001125522,0.009281225,0.03367907,0.001281363,0.000277051,0.12392859
"Leptailurus_serval",0.114318524,0.308671412,0.025561906,0.011317017,0.045960588,0.006469371,8.77e-05,0.037387356,0.033354956,0.082830744
"Falco_biarmicus",0,0.198357592,0.000550747,0,0.001150669,0.195131786,0.00063926,0.021223446,0,0.005733674
"Semnopithecus_entellus",0.174984266,0.00386964,0.000357198,0.310004933,0.043875763,0.015350989,0,0.008266571,0,0
"Agapornis_fischeri",0.938765606,0.00171285,0.056010201,0,0,0,0.000780298,0,0,0
"Pyxis_arachnoides",0.355089414,0.042893466,0.002067972,0.085236037,0.151792525,0.034706331,0.00172896,0.011424697,0.079150775,0.002830748
"Panthera_pardus",0.023573325,0.00036742,0.011423418,0.000267214,0.135586285,0.118593116,0,0.297768759,0.099320273,0.000167009
"Xenopus_laevis",0.279554972,0.057581095,0.002085549,0.031640521,0.027743619,0.004162789,0.040639125,0.005550386,0.012272334,0.000656408
"Parahyaena_brunnea",0.270741468,0.027697771,0.002260002,0.125251701,0.195609139,0.039541542,2.55e-05,0.118497183,0.031835445,5.1e-05
"Monopterus_albus",0.552573763,0.004385894,0.061378098,0.110599378,0.057464156,0.001668104,0,0.007242013,0,0
"Polyplectron_napoleonis",0.007775085,0.000703066,0.283377034,0.014292922,0.042547912,0.094839494,0.000380483,0.1113905,0,0.004499624
"Oryx_leucoryx",0.252806004,0.000596761,0.000842005,0.26631079,0.070663059,0.002648638,0.000801131,0.041634308,0,0.017624891
"Platypus_cylindrus",0.078037197,0.09037384,0.044483479,0.000447274,0.001154781,0.000601787,0.025022974,0.000512333,0.001219839,0.023266405
"Tachypleus_tridentatus",0.399779911,0.170329495,0.060962968,0.04870658,0.060372875,0.004521387,0.006435201,0.010063475,0.030278141,0.006794042
"Kerodon_rupestris",0.004615811,0.078033332,0.003048177,0.006991014,0.047796999,0.708499268,0.00011876,0.001971418,0.011630577,0.000126677
"Rhacodactylus_leachianus",0.420336859,0.003782532,0.009436506,0.100613769,0.176898799,0.004948218,0,0.004099726,0.000111018,0.040061536
"Lagenorhynchus_albirostris",7.75e-05,0.28966877,0.035043007,0.000309963,0.001696185,0.309644146,0.000103321,0.081821548,0.279491661,0.000103321
"Tockus_erythrorhynchus",0.000101796,0.123250879,0.005183741,0.000195761,0.000195761,0.000242743,0.053262546,3.92e-05,0.000274065,0.285583406
"Drymarchon_couperi",0.030702997,0.429802607,0.001550497,0.003140348,0.009082609,0.069189963,0.002723209,0.004919091,0.00879927,0.0054779
"Budorcas_taxicolor",0.426655872,0.000440151,0.002703786,0.250886197,0.067932625,0.000668087,0,0.025748847,0,0
"Python_regius",0.500227844,0.011832181,0.045262414,0.018219673,0.034514456,0.080900377,0.000157134,0.127144877,0.000934947,3.93e-05
"Oryx_gazella",0.324886727,0.00020595,0.000110896,0.3194132,0.04087323,0.002027819,0,0.019153386,0,0
"Callonetta_leucophrys",0.024656782,0.104654036,0.067462932,0.140637013,0.205120813,0.003281164,0.001702361,0.002416255,0.000151016,0.019549698
"Axis_porcinus",0.31620232,0.000278763,0.000147125,0.275704264,0.098596893,0,1.55e-05,0.00578433,0,3.1e-05
"Phascolarctos_cinereus",0.110864591,0.266326161,5.39e-05,0.181723636,0.06241574,0.000177186,0.152249108,0.000138667,0,0.000408298
"Macaca_sylvanus",0.183680336,6.41e-05,0.210732911,0.327867277,0.057237385,0.000953289,0,0.031082023,0,0
"Epibulus_insidiator",0.041106575,0.229886552,0.001594689,0.017567579,0.035230493,0.055363442,0.007860777,0.059506166,0.041045908,0.000121335
"Cuora_bourreti",0.067101806,0.000314097,0.000482637,0.063416914,0.089042618,0.118468127,0.00025281,0.012663464,0,0.217898922
"Drymarchon_corais",0.308727796,0.206875535,0.057263742,0.005087755,0.192159911,0.07730561,0.000291486,0.065575508,0.000114828,1.77e-05
"Acinonyx_jubatus",0.152795815,0.006948266,0.014549537,0.025679969,0.101259786,0.105287872,0.002634031,0.049312877,0.103108744,0.216173978
"Equus_asinus",0.15323026,0.003865268,0.004060155,0.037986813,0.014949492,0.02013025,0,0.008843018,0,0.017028291
"Ara_ararauna",0.001943564,0.007876547,0.964424018,0,0,0.000898715,0.012092473,0,0,0.000467624
"Connochaetes_gnou",0.42828444,8.12e-05,9.6e-05,0.252001536,0.043620196,0,0,0.007629472,7.39e-05,0.000132943
"Cricetus_cricetus",0.607758123,0,0.040168523,0.117122122,0.072379812,0.000216425,0,0.00191897,0.000137069,0
"Blicca_bjoerkna",9.63e-05,0.316497069,0.021989668,0.000140817,0.000222342,0.001756505,0.017172249,0.0013637,0.159426949,0.396910922
"Gonocephalus_chamaeleontinus",0.297282868,0.007673745,0.00014237,0.178282875,0.173705678,0.019020637,0.000163726,0.010457079,0,4.98e-05
"Syncerus_caffer",0.161012186,7.83e-05,6.4e-05,0.176499463,0.03274595,0.005719692,3.56e-05,0.008487056,0,2.85e-05
"Empidonax_minimus",0.059979839,0.008316532,0.548387097,0.020917339,0.031502016,0.001260081,0,0,0,0
"Bettongia_penicillata",0.314378946,0.010413563,0.002695609,0.033418458,0.079236717,0.00461091,0.008576293,0.002121019,0.00227708,0.066929134
"Lampropeltis_getula",0.094682651,0.308700449,0.003338972,0.002500552,0.030756785,0.023644922,0.007317791,0.007111863,2.21e-05,0.000448628
"Alouatta_pigra",0.363766843,0.080681087,0.016540917,0.086218255,0.129872473,0.101872912,0.000219604,0.028713275,0.006595975,0.002125457
"Erythrocebus_patas",0.18357505,0.070308799,0.037830843,0.182896216,0.065747884,0.011596744,0,0.011936161,1.41e-05,0
"Aedes_aegypti",0,0.216435419,0,0,0,0,0.000146198,0,0,0.003515709
"Myripristis_violacea",0.024947841,0.110953016,0.000117957,0.029422823,0.075013086,0.439690953,0.006458129,0.108453809,0.040547614,0.001098472
"Lithobates_clamitans",0.122904285,0.076717869,0,0.052936374,0.010604363,0.016699261,0.008705641,0.012854349,0.26118822,0
"Trichosurus_vulpecula",0.017411184,0,0,0.285130793,0.418056611,0.000320622,0,0.000460023,4.88e-05,3.49e-05
"Eurypyga_helias",0.006426859,0.789647139,0.158903734,0.001891059,0.000609798,0.007728674,0.001431997,0.004837273,0,0
"Grammomys_macmillani",0.226175023,0.001027343,0.029147375,0.270059211,0.350705604,0.000520613,0,0.001166173,2.08e-05,0
"Plecturocebus_moloch",0.237095193,0.084546219,0.004895586,0.060617651,0.25102397,0.000361606,0.00103614,0.062481311,0.088704686,0.000180803
"Tyrannus_tyrannus",0.314528875,0.525264438,0.056194529,0.000218845,0.000729483,0.012072948,0.071829787,0,0,8.51e-05
"Shirakiacris_shirakii",0.000468305,0.929516764,0.039249355,8.82e-05,0.000278268,4.75e-05,0.003217049,6.11e-05,0.00031899,0.002511199
"Notophthalmus_viridescens",0.391289951,0.127260294,0.000561474,0.033321336,0.012913907,0.012568385,0.000381515,0.012345235,0.244737979,0.000583069
"Crocodylus_moreletii",0.219664466,0.028240107,0.000564536,0.001062657,0.079480095,0.292283783,0,0.028206899,0.348717506,0
"Papio_ursinus",0.105594235,0.001686241,0.002265886,0.671901039,0.065954406,0.006685681,0,0.011988117,3.95e-05,3.29e-05
"Physignathus_cocincinus",0.584612891,0.066508883,5.19e-05,0.034262742,0.07536636,0.005018804,0.011003761,0.002120348,0.01071197,0.000408507
"Macropus_giganteus",0.12295195,0.011364263,0.040140398,0.159161748,0.035602968,0.000399956,0.000144812,0.009219672,0.000206874,0.006020025
"Phyllobates_terribilis",0.22472542,0.087652158,0.002960741,0.045529475,0.014506338,0.158128139,0.000271509,0.008494353,0.003426185,0.013381515
"Manouria_impressa",0.429685469,0.008402651,0,0.10027294,0.098661295,0.05100078,0,0.030107876,0.107785287,4.55e-05
"Helogale_parvula",0.395881362,0.031732502,0.000619927,0.138560091,0.181309208,0.017416068,0.002027677,0.002402216,0.000787824,0
"Strongylocentrotus_purpuratus",0.085834186,0.48863445,0.000757703,7.12e-05,0.000317329,0,0,0.008308832,0,0
"Mico_argentatus",0.291495392,0.001576582,0.156234841,0.002080833,0.014642429,0.000102127,0.000510634,0.004302091,0.054427196,0.00015319
"Papio_hamadryas",0.3120128,0.0345536,0.001184,0.2943744,0.0939968,0.0546688,0,0.0050176,0,0
"Pronolagus_rupestris",0.193805553,0,0,0.250153814,0.04963281,0,0,0.00897357,0.000143996,0
"Helarctos_malayanus",0.011615005,0.073360172,0.327681124,0.005199368,0.004708594,0.422478911,0.000718381,0.112984907,7.11e-05,6.4e-05
"Vulpes_zerda",0.301186981,0.031447519,0.065955806,0.028044593,0.049737471,0.004535161,0.009288061,0.001175783,0.000634549,0.214166625
"Tamandua_mexicana",0.247578957,0.186490581,0.070327387,0.007919153,0.31515729,0.00170254,0.001366718,0.004279779,0.097357158,9.37e-05
"Trachycephalus_resinifictrix",0.220102701,0.1726452,0.001439791,0.005709731,0.013600776,0.026163419,0.021621588,0.00174258,0.002947556,0.267152365
"Piranga_rubra",0.305646564,0.153015411,0.004833556,0,0.000970756,6.07e-05,0.000849411,0,0.000283137,0.000303361
"Plethodon_shenandoah",0.400048641,0.000448995,0.001203557,0.142986318,0.145212587,0.022075606,0,0.003897529,5.61e-05,2.49e-05
