"","p__Proteobacteria","p__Firmicutes_A","p__Bacteroidota","p__Firmicutes_D","p__Fusobacteriota","p__Actinobacteriota","p__Verrucomicrobiota","p__Cyanobacteria","node","MRCA"
"node_1054",0.0372799188568236,0.64242649031533,0.130475232465949,0.101370103399735,0.0524867790092504,0.0356264327067483,0.000200676906846062,0.00013436633931695,1054,"Panthera_leo-Panthera_onca-Panthera_pardus"
"node_1055",0.0369497317815254,0.642960716313059,0.130164556539984,0.10086907510807,0.0530879952208578,0.0356362199810293,0.000198702928052423,0.000133002127421876,1055,"Panthera_leo-Panthera_pardus"
"node_1056",0.07618015616571,0.66275810331381,0.0835687742051162,0.159740699881048,0.00656786478863702,0.00990598998308324,0.000843414037987314,0.000434997624608221,1056,"Ailuropoda_melanoleuca-Ailurus_fulgens-Aonyx_cinereus-Callorhinus_ursinus-Canis_aureus-Canis_lupus-Eira_barbara-Galictis_vittata-Halichoerus_grypus-Helarctos_malayanus-Lutra_lutra-Lycaon_pictus-Martes_foina-Martes_martes-Melursus_ursinus-Mephitis_mephitis-Mirounga_angustirostris-Mustela_nigripes-Mustela_putorius-Nyctereutes_procyonoides-Odobenus_rosmarus-Phoca_vitulina-Potos_flavus-Procyon_lotor-Pteronura_brasiliensis-Speothos_venaticus-Tremarctos_ornatus-Ursus_americanus-Ursus_arctos-Ursus_maritimus-Vulpes_vulpes-Vulpes_zerda"
"node_1057",0.0881279376341398,0.619515919945028,0.12104216004526,0.138398707846115,0.022005285387972,0.00996500464588564,0.000614639546917212,0.00033034494868257,1057,"Canis_aureus-Canis_lupus-Lycaon_pictus-Nyctereutes_procyonoides-Speothos_venaticus-Vulpes_vulpes-Vulpes_zerda"
"node_1058",0.0878892292198984,0.617619816729096,0.124084894765169,0.136856057892872,0.022425144534515,0.0101433670211222,0.000639511002212831,0.000341978835113855,1058,"Nyctereutes_procyonoides-Vulpes_vulpes-Vulpes_zerda"
"node_1059",0.0896226910963391,0.610070537072325,0.131839099910594,0.133459056042851,0.0234310588343856,0.0105476716430696,0.000674570876486568,0.000355314523950118,1059,"Vulpes_vulpes-Vulpes_zerda"
"node_1060",0.091072124247015,0.615182273593471,0.118375648884633,0.139434590581812,0.025844161807626,0.00931656387208026,0.000499236326254491,0.000275400687108795,1060,"Canis_aureus-Canis_lupus-Lycaon_pictus-Speothos_venaticus"
"node_1061",0.0900512571752238,0.613957836851702,0.120774400710927,0.137514224328851,0.0276153879416922,0.0093421426470032,0.000479430284355724,0.000265320060244855,1061,"Canis_aureus-Canis_lupus-Lycaon_pictus"
"node_1062",0.0893085010063548,0.614106189153482,0.121819987804774,0.135817030859023,0.0288721325470337,0.0093460603984984,0.000470317082012671,0.000259781148821425,1062,"Canis_aureus-Canis_lupus"
"node_1063",0.0748065781276994,0.683865738023336,0.066292294026934,0.15946696366987,0.00591815680087835,0.00844589803098288,0.000777580328705939,0.000426790991592908,1063,"Ailuropoda_melanoleuca-Ailurus_fulgens-Aonyx_cinereus-Callorhinus_ursinus-Eira_barbara-Galictis_vittata-Halichoerus_grypus-Helarctos_malayanus-Lutra_lutra-Martes_foina-Martes_martes-Melursus_ursinus-Mephitis_mephitis-Mirounga_angustirostris-Mustela_nigripes-Mustela_putorius-Odobenus_rosmarus-Phoca_vitulina-Potos_flavus-Procyon_lotor-Pteronura_brasiliensis-Tremarctos_ornatus-Ursus_americanus-Ursus_arctos-Ursus_maritimus"
"node_1064",0.0748065781276994,0.683865738023336,0.066292294026934,0.15946696366987,0.00591815680087835,0.00844589803098288,0.000777580328705939,0.000426790991592908,1064,"Ailurus_fulgens-Aonyx_cinereus-Callorhinus_ursinus-Eira_barbara-Galictis_vittata-Halichoerus_grypus-Lutra_lutra-Martes_foina-Martes_martes-Mephitis_mephitis-Mirounga_angustirostris-Mustela_nigripes-Mustela_putorius-Odobenus_rosmarus-Phoca_vitulina-Potos_flavus-Procyon_lotor-Pteronura_brasiliensis"
"node_1065",0.0734328396686782,0.706197159124803,0.0613335836299864,0.146429102512636,0.00459382239506474,0.00678525197275933,0.000780153440085319,0.000448087255986905,1065,"Ailurus_fulgens-Aonyx_cinereus-Eira_barbara-Galictis_vittata-Lutra_lutra-Martes_foina-Martes_martes-Mephitis_mephitis-Mustela_nigripes-Mustela_putorius-Potos_flavus-Procyon_lotor-Pteronura_brasiliensis"
"node_1066",0.0728744596897314,0.712879828123563,0.0595021182417447,0.142607860850478,0.00448610103508036,0.00643184508544847,0.000769599769083416,0.000448187204870758,1066,"Ailurus_fulgens-Aonyx_cinereus-Eira_barbara-Galictis_vittata-Lutra_lutra-Martes_foina-Martes_martes-Mustela_nigripes-Mustela_putorius-Potos_flavus-Procyon_lotor-Pteronura_brasiliensis"
"node_1067",0.07305597142727,0.71925737876998,0.0568368193054869,0.139083631488031,0.00446361611509338,0.00611962302357561,0.000736266916197285,0.000446692954365689,1067,"Aonyx_cinereus-Eira_barbara-Galictis_vittata-Lutra_lutra-Martes_foina-Martes_martes-Mustela_nigripes-Mustela_putorius-Potos_flavus-Procyon_lotor-Pteronura_brasiliensis"
"node_1068",0.0721191986140755,0.770878447108012,0.0411394930069344,0.107160979681721,0.00364598306196485,0.00395873475699703,0.000584357410720085,0.000512806359575169,1068,"Aonyx_cinereus-Eira_barbara-Galictis_vittata-Lutra_lutra-Martes_foina-Martes_martes-Mustela_nigripes-Mustela_putorius-Pteronura_brasiliensis"
"node_1069",0.0736710198049941,0.769689121355447,0.034939889541204,0.113550886484246,0.0035460668125664,0.00360861605483785,0.000537038678426128,0.000457361268278498,1069,"Eira_barbara-Martes_foina-Martes_martes"
"node_1070",0.0729597776008721,0.784353122397401,0.028749648953892,0.10646674847853,0.00339329486698416,0.00320177767155547,0.000471621558866015,0.000404008471898352,1070,"Martes_foina-Martes_martes"
"node_1071",0.0709498325285428,0.779304703480229,0.0423525492831633,0.0988447136359081,0.00356153132377223,0.00384264250202865,0.000585765587108938,0.000558261659246491,1071,"Aonyx_cinereus-Galictis_vittata-Lutra_lutra-Mustela_nigripes-Mustela_putorius-Pteronura_brasiliensis"
